time_period,time_identifier,geographic_level,country_code,country_name,age_group,graduate_type,employment_rate,hs_employment_rate,unemployment_rate,inactivity_rate,employment_accuracy_flag,hs_employment_accuracy_flag,unemployment_accuracy_flag,inactive_accuracy_flag
2007,Calendar year,National,E92000001,England,16-64,Graduate,87.3,68.7,2.8,10.2,0,0,0,0
2007,Calendar year,National,E92000001,England,16-64,Non-Graduate,72.2,23.4,6.2,23.1,0,0,0,0
2007,Calendar year,National,E92000001,England,16-64,Postgraduate,89.1,81.3,2.6,8.5,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Graduate,86.9,60.1,4.1,9.4,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Non-Graduate,72.6,20.0,7.8,21.2,0,0,0,0
2007,Calendar year,National,E92000001,England,21-30,Postgraduate,88.2,75.9,3.2,8.9,0,0,4,0
2008,Calendar year,National,E92000001,England,16-64,Graduate,86.0,68.7,3.2,11.2,0,0,0,0
2008,Calendar year,National,E92000001,England,16-64,Non-Graduate,69.8,22.6,6.7,25.2,0,0,0,0
2008,Calendar year,National,E92000001,England,16-64,Postgraduate,87.4,79.2,2.4,10.4,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Graduate,86.7,61.3,4.6,9.1,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Non-Graduate,72.0,19.3,8.7,21.1,0,0,0,0
2008,Calendar year,National,E92000001,England,21-30,Postgraduate,87.3,74.0,3.0,10.0,0,0,4,0
2009,Calendar year,National,E92000001,England,16-64,Graduate,84.7,67.3,4.4,11.4,0,0,0,0
2009,Calendar year,National,E92000001,England,16-64,Non-Graduate,67.7,22.0,9.0,25.7,0,0,0,0
2009,Calendar year,National,E92000001,England,16-64,Postgraduate,87.0,78.7,3.2,10.2,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Graduate,83.6,57.8,6.7,10.4,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Non-Graduate,68.6,18.6,12.4,21.7,0,0,0,0
2009,Calendar year,National,E92000001,England,21-30,Postgraduate,86.9,73.5,4.8,8.7,0,0,2,0
2010,Calendar year,National,E92000001,England,16-64,Graduate,84.9,66.2,4.3,11.3,0,0,0,0
2010,Calendar year,National,E92000001,England,16-64,Non-Graduate,66.9,21.9,9.2,26.3,0,0,0,0
2010,Calendar year,National,E92000001,England,16-64,Postgraduate,86.1,77.3,3.6,10.7,0,0,0,0
2010,Calendar year,National,E92000001,England,21-30,Graduate,83.4,55.3,6.4,10.8,0,0,0,0
2010,Calendar year,National,E92000001,England,21-30,Non-Graduate,68.7,17.7,12.0,22.0,0,0,0,0
2010,Calendar year,National,E92000001,England,21-30,Postgraduate,83.8,68.9,6.5,10.4,0,0,1,0
2011,Calendar year,National,E92000001,England,16-64,Graduate,85.0,66.0,4.3,11.2,0,0,0,0
2011,Calendar year,National,E92000001,England,16-64,Non-Graduate,66.5,19.9,9.7,26.3,0,0,0,0
2011,Calendar year,National,E92000001,England,16-64,Postgraduate,85.7,77.4,3.9,10.9,0,0,0,0
2011,Calendar year,National,E92000001,England,21-30,Graduate,84.3,55.5,6.8,9.5,0,0,0,0
2011,Calendar year,National,E92000001,England,21-30,Non-Graduate,68.1,15.4,12.9,21.8,0,0,0,0
2011,Calendar year,National,E92000001,England,21-30,Postgraduate,86.4,72.1,5.5,8.6,0,0,2,0
2012,Calendar year,National,E92000001,England,16-64,Graduate,85.6,65.3,4.3,10.6,0,0,0,0
2012,Calendar year,National,E92000001,England,16-64,Non-Graduate,67.1,19.9,9.6,25.8,0,0,0,0
2012,Calendar year,National,E92000001,England,16-64,Postgraduate,86.3,78.0,3.8,10.3,0,0,0,0
2012,Calendar year,National,E92000001,England,21-30,Graduate,84.5,53.9,7.1,9.0,0,0,0,0
2012,Calendar year,National,E92000001,England,21-30,Non-Graduate,67.7,15.3,13.1,22.2,0,0,0,0
2012,Calendar year,National,E92000001,England,21-30,Postgraduate,85.4,71.6,6.1,9.0,0,0,2,0
2013,Calendar year,National,E92000001,England,16-64,Graduate,86.1,65.7,4.0,10.4,0,0,0,0
2013,Calendar year,National,E92000001,England,16-64,Non-Graduate,67.4,20.2,9.3,25.7,0,0,0,0
2013,Calendar year,National,E92000001,England,16-64,Postgraduate,86.7,78.0,3.4,10.2,0,0,0,0
2013,Calendar year,National,E92000001,England,21-30,Graduate,85.1,53.3,6.5,9.0,0,0,0,0
2013,Calendar year,National,E92000001,England,21-30,Non-Graduate,68.3,14.7,13.0,21.6,0,0,0,0
2013,Calendar year,National,E92000001,England,21-30,Postgraduate,85.7,72.2,5.4,9.5,0,0,3,0
2014,Calendar year,National,E92000001,England,16-64,Graduate,87.1,67.6,3.3,10.0,0,0,0,0
2014,Calendar year,National,E92000001,England,16-64,Non-Graduate,68.8,20.1,7.7,25.5,0,0,0,0
2014,Calendar year,National,E92000001,England,16-64,Postgraduate,87.5,78.0,2.3,10.5,0,0,0,0
2014,Calendar year,National,E92000001,England,21-30,Graduate,87.0,58.0,5.2,8.2,0,0,0,0
2014,Calendar year,National,E92000001,England,21-30,Non-Graduate,70.4,15.5,10.5,21.4,0,0,0,0
2014,Calendar year,National,E92000001,England,21-30,Postgraduate,87.1,72.8,3.9,9.3,0,0,4,0
2015,Calendar year,National,E92000001,England,16-64,Graduate,87.1,66.2,3.1,10.1,0,0,0,0
2015,Calendar year,National,E92000001,England,16-64,Non-Graduate,69.6,20.5,6.5,25.6,0,0,0,0
2015,Calendar year,National,E92000001,England,16-64,Postgraduate,87.5,78.1,2.3,10.5,0,0,0,0
2015,Calendar year,National,E92000001,England,21-30,Graduate,86.6,55.8,4.9,8.9,0,0,0,0
2015,Calendar year,National,E92000001,England,21-30,Non-Graduate,71.5,16.3,8.8,21.6,0,0,0,0
2015,Calendar year,National,E92000001,England,21-30,Postgraduate,87.4,73.4,3.6,9.4,0,0,4,0
2016,Calendar year,National,E92000001,England,16-64,Graduate,87.3,65.6,2.9,10.1,0,0,0,0
2016,Calendar year,National,E92000001,England,16-64,Non-Graduate,70.3,21.3,6.0,25.2,0,0,0,0
2016,Calendar year,National,E92000001,England,16-64,Postgraduate,88.0,78.4,2.1,10.1,0,0,0,0
2016,Calendar year,National,E92000001,England,21-30,Graduate,87.0,55.8,4.7,8.7,0,0,0,0
2016,Calendar year,National,E92000001,England,21-30,Non-Graduate,73.5,15.8,7.8,20.3,0,0,0,0
2016,Calendar year,National,E92000001,England,21-30,Postgraduate,90.6,75.3,2.9,6.7,0,0,4,0
2017,Calendar year,National,E92000001,England,16-64,Graduate,87.4,65.6,2.8,10.1,0,0,0,0
2017,Calendar year,National,E92000001,England,16-64,Non-Graduate,71.0,21.4,5.4,25.0,0,0,0,0
2017,Calendar year,National,E92000001,England,16-64,Postgraduate,87.7,77.8,2.4,10.1,0,0,0,0
2017,Calendar year,National,E92000001,England,21-30,Graduate,88.7,57.8,4.0,7.5,0,0,0,0
2017,Calendar year,National,E92000001,England,21-30,Non-Graduate,75.0,17.1,6.8,19.6,0,0,0,0
2017,Calendar year,National,E92000001,England,21-30,Postgraduate,88.3,73.9,4.5,7.5,0,0,4,0
2018,Calendar year,National,E92000001,England,16-64,Graduate,87.7,65.5,2.6,10.0,0,0,0,0
2018,Calendar year,National,E92000001,England,16-64,Non-Graduate,71.4,22.1,5.0,24.8,0,0,0,0
2018,Calendar year,National,E92000001,England,16-64,Postgraduate,87.6,77.4,2.2,10.5,0,0,0,0
2018,Calendar year,National,E92000001,England,21-30,Graduate,87.9,57.2,4.0,8.5,0,0,0,0
2018,Calendar year,National,E92000001,England,21-30,Non-Graduate,74.0,18.3,6.9,20.4,0,0,0,0
2018,Calendar year,National,E92000001,England,21-30,Postgraduate,86.5,73.0,4.1,9.8,0,0,4,0
2019,Calendar year,National,E92000001,England,16-64,Graduate,87.5,65.6,2.5,10.2,0,0,0,0
2019,Calendar year,National,E92000001,England,16-64,Non-Graduate,71.9,23.1,4.8,24.5,0,0,0,0
2019,Calendar year,National,E92000001,England,16-64,Postgraduate,88.7,78.9,1.9,9.6,0,0,0,0
2019,Calendar year,National,E92000001,England,21-30,Graduate,87.9,58.1,4.5,7.9,0,0,0,0
2019,Calendar year,National,E92000001,England,21-30,Non-Graduate,74.7,19.0,6.5,20.1,0,0,0,0
2019,Calendar year,National,E92000001,England,21-30,Postgraduate,88.3,76.6,4.0,8.0,0,0,4,0
2020,Calendar year,National,E92000001,England,16-64,Graduate,86.3,65.6,3.7,10.3,0,0,0,0
2020,Calendar year,National,E92000001,England,16-64,Non-Graduate,70.7,23.4,5.5,25.1,0,0,0,0
2020,Calendar year,National,E92000001,England,16-64,Postgraduate,88.1,78.0,2.8,9.4,0,0,0,0
2020,Calendar year,National,E92000001,England,21-30,Graduate,86.4,58.0,6.2,7.8,0,0,0,0
2020,Calendar year,National,E92000001,England,21-30,Non-Graduate,74.5,20.3,7.1,19.8,0,0,0,0
2020,Calendar year,National,E92000001,England,21-30,Postgraduate,88.1,74.8,4.0,8.2,0,0,4,0
2021,Calendar year,National,E92000001,England,16-64,Graduate,86.6,65.5,3.2,10.5,0,0,0,0
2021,Calendar year,National,E92000001,England,16-64,Non-Graduate,69.8,22.7,5.7,26.0,0,0,0,0
2021,Calendar year,National,E92000001,England,16-64,Postgraduate,88.2,77.1,2.5,9.6,0,0,0,0
2021,Calendar year,National,E92000001,England,21-30,Graduate,86.8,59.1,4.9,8.7,0,0,0,0
2021,Calendar year,National,E92000001,England,21-30,Non-Graduate,74.3,20.9,7.1,20.1,0,0,0,0
2021,Calendar year,National,E92000001,England,21-30,Postgraduate,87.4,71.4,4.9,8.1,0,0,4,0
2022,Calendar year,National,E92000001,England,16-64,Graduate,87.3,66.7,2.5,10.4,0,0,0,0
2022,Calendar year,National,E92000001,England,16-64,Non-Graduate,69.3,22.9,4.9,27.1,0,0,0,0
2022,Calendar year,National,E92000001,England,16-64,Postgraduate,89.3,78.2,2.0,8.8,0,0,0,0
2022,Calendar year,National,E92000001,England,21-30,Graduate,88.2,61.7,4.3,7.9,0,0,1,0
2022,Calendar year,National,E92000001,England,21-30,Non-Graduate,74.2,21.0,5.7,21.3,0,0,0,0
2022,Calendar year,National,E92000001,England,21-30,Postgraduate,88.7,72.2,4.2,7.4,0,0,4,2
2023,Calendar year,National,E92000001,England,16-64,Graduate,87.7,67.0,3.0,9.6,0,0,0,0
2023,Calendar year,National,E92000001,England,16-64,Non-Graduate,68.7,23.7,5.1,27.6,0,0,0,0
2023,Calendar year,National,E92000001,England,16-64,Postgraduate,89.4,78.9,2.1,8.7,0,0,0,0
2023,Calendar year,National,E92000001,England,21-30,Graduate,87.4,60.4,5.5,7.5,0,0,0,0
2023,Calendar year,National,E92000001,England,21-30,Non-Graduate,72.2,20.7,7.1,22.3,0,0,0,0
2023,Calendar year,National,E92000001,England,21-30,Postgraduate,90.8,76.4,3.0,6.4,0,0,4,4
